plate_barcode,well,fov,fov_id_str,user_metadata.Cell Line ID,Molecule Name,Molecule Concentration,user_metadata.Concentration Units,user_metadata.JF549 Concentration,row,column,zLockPerWell,clock_time,num_nuclei,nuclear_fraction,frame_interval_sec,mean_snr,diff_coef_mle,median_jump_length,fraction_bound,loc_error_state_arrays,mobile_diffusion_coefficient
1656881-U2OS-0002,B21,0,1656881-U2OS-0002_WellB21_Point00,DBM (U2OS),Fulvestrant,100,nM,1.56,B,21,NORMAL,2024-08-20 13:07:16-07:00,53,0.744625226,0.01,28.5868988,1.674469827,0.196399841,0.371230559,0.038964742,1.766379391
1656881-U2OS-0002,B21,1,1656881-U2OS-0002_WellB21_Point01,DBM (U2OS),Fulvestrant,100,nM,1.56,B,21,NORMAL,2024-08-20 13:07:19-07:00,55,0.783182544,0.01,29.3192215,1.513627936,0.18477232,0.42642142,0.038634883,1.700682241
1656881-U2OS-0002,B21,2,1656881-U2OS-0002_WellB21_Point02,DBM (U2OS),Fulvestrant,100,nM,1.56,B,21,NORMAL,2024-08-20 13:07:21-07:00,56,0.78204783,0.01,28.71422005,1.615291395,0.187342667,0.394656561,0.039073631,1.682285642
1656881-U2OS-0002,B21,3,1656881-U2OS-0002_WellB21_Point03,DBM (U2OS),Fulvestrant,100,nM,1.56,B,21,NORMAL,2024-08-20 13:07:24-07:00,71,0.753746747,0.01,29.31932068,1.567741203,0.194331094,0.382923336,0.038201356,1.591373312
1656881-U2OS-0002,B20,0,1656881-U2OS-0002_WellB20_Point00,SOF2 (U2OS),Fulvestrant,100,nM,1.56,B,20,NORMAL,2024-08-20 13:07:28-07:00,78,0.789686831,0.01,29.76913071,1.176163732,0.139788969,0.723249957,0.038481187,1.871260259
1656881-U2OS-0002,B20,1,1656881-U2OS-0002_WellB20_Point01,SOF2 (U2OS),Fulvestrant,100,nM,1.56,B,20,NORMAL,2024-08-20 13:07:31-07:00,61,0.81255573,0.01,29.13900757,1.171186035,0.137920489,0.709171662,0.038779657,1.856333963
1656881-U2OS-0002,B20,2,1656881-U2OS-0002_WellB20_Point02,SOF2 (U2OS),Fulvestrant,100,nM,1.56,B,20,NORMAL,2024-08-20 13:07:34-07:00,44,0.785836525,0.01,29.17284775,1.216620033,0.138334669,0.715433233,0.040329862,1.894225574
1656881-U2OS-0002,B20,3,1656881-U2OS-0002_WellB20_Point03,SOF2 (U2OS),Fulvestrant,100,nM,1.56,B,20,NORMAL,2024-08-20 13:07:37-07:00,63,0.814670987,0.01,28.72794342,1.164530853,0.138720698,0.702599332,0.040044505,1.801593158
1656881-U2OS-0002,B19,0,1656881-U2OS-0002_WellB19_Point00,SOF1 (U2OS),Fulvestrant,100,nM,1.56,B,19,NORMAL,2024-08-20 13:07:41-07:00,48,0.760152431,0.01,28.37293053,1.287736002,0.144271208,0.650236703,0.038817675,1.932283595
1656881-U2OS-0002,B19,1,1656881-U2OS-0002_WellB19_Point01,SOF1 (U2OS),Fulvestrant,100,nM,1.56,B,19,NORMAL,2024-08-20 13:07:44-07:00,57,0.745039108,0.01,29.15864182,1.361637063,0.162031165,0.605418176,0.037303656,1.873051041
