mutant,nucleic_acid,kd,log_kd,mean
WT (U2OS),DNA,9.16,0.961895474,0.957678677
WT (U2OS),DNA,9.24,0.965671971,0.957678677
WT (U2OS),DNA,8.82,0.945468585,0.957678677
WT (U2OS),RNA,86.52,1.937116511,1.909668568
WT (U2OS),RNA,77.15,1.88733593,1.909668568
WT (U2OS),RNA,80.27,1.904553263,1.909668568
SOF1 (U2OS),DNA,21.66,1.335658452,1.363589502
SOF1 (U2OS),DNA,23.31,1.367542274,1.363589502
SOF1 (U2OS),DNA,24.41,1.387567779,1.363589502
SOF1 (U2OS),RNA,478.32,2.67971854,2.659323081
SOF1 (U2OS),RNA,495.09,2.694684154,2.659323081
SOF1 (U2OS),RNA,401.39,2.603566549,2.659323081
SOF2 (U2OS),DNA,16.13,1.207634367,1.235516849
SOF2 (U2OS),DNA,18.34,1.263399331,1.235516849
SOF2 (U2OS),RNA,1398.05,3.145522704,3.206887651
SOF2 (U2OS),RNA,1854.61,3.268252597,3.206887651
SOF3 (U2OS),DNA,28.8,1.459392488,1.499735789
SOF3 (U2OS),DNA,34.68,1.540079089,1.499735789
SOF3 (U2OS),RNA,7500,3.875061263,3.875061263
SOF3 (U2OS),RNA,7500,3.875061263,3.875061263
SOF3 (U2OS),RNA,7500,3.875061263,3.875061263
DBM (U2OS),RNA,400.67,2.602786826,2.640729979
DBM (U2OS),RNA,477.17,2.678673131,2.640729979
DBM (U2OS),DNA,395.38,2.597014697,2.575927514
DBM (U2OS),DNA,358.79,2.55484033,2.575927514
