"","mean","sd","hdi_3.","hdi_97.","mcse_mean","mcse_sd","ess_bulk","ess_tail","r_hat","fov_id_str","Cell.Line.ID","Molecule.Name","Molecule.Concentration","plate_barcode","parameter","residence_time","fold_change"
"1",0.871,0.007,0.859,0.883,0,0,2491,2467,1,"1854872-U2OS-0007_WellE11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14810562571757,0.972604407343234
"2",0.897,0.011,0.877,0.916,0,0,3140,2982,1,"1854872-U2OS-0007_WellJ07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.11482720178372,0.944412975246328
"3",0.858,0.007,0.845,0.873,0,0,2564,2781,1,"1854872-U2OS-0007_WellF07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.16550116550117,0.987340837757525
"4",0.928,0.01,0.908,0.947,0,0,2706,3040,1,"1854872-U2OS-0007_WellH07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.07758620689655,0.912864696978401
"5",0.859,0.011,0.839,0.879,0,0,3324,2781,1,"1854872-U2OS-0007_WellI05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.16414435389988,0.986191430495875
"6",0.87,0.011,0.851,0.891,0,0,2794,2796,1,"1854872-U2OS-0007_WellI05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14942528735632,0.973722343443628
"7",0.876,0.007,0.862,0.89,0,0,2658,2563,1,"1854872-U2OS-0007_WellI11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14155251141553,0.967053012324151
"8",0.855,0.008,0.841,0.869,0,0,2700,2878,1,"1854872-U2OS-0007_WellF09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.16959064327485,0.990805191574218
"9",0.944,0.01,0.924,0.963,0,0,2672,2521,1,"1854872-U2OS-0007_WellF13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.05932203389831,0.897392413978768
"10",0.855,0.007,0.842,0.867,0,0,3281,2808,1,"1854872-U2OS-0007_WellF11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.16959064327485,0.990805191574218
"11",0.866,0.008,0.85,0.881,0,0,2944,2710,1,"1854872-U2OS-0007_WellH11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15473441108545,0.978219906230897
"12",0.882,0.01,0.863,0.901,0,0,3024,2925,1,"1854872-U2OS-0007_WellG07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13378684807256,0.960474420403579
"13",0.878,0.008,0.864,0.892,0,0,2922,2940,1,"1854872-U2OS-0007_WellE09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13895216400911,0.964850158081955
"14",0.884,0.012,0.863,0.907,0,0,2657,2679,1,"1854872-U2OS-0007_WellJ05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13122171945701,0.958301401352892
"15",0.874,0.009,0.858,0.892,0,0,2805,2743,1,"1854872-U2OS-0007_WellG09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.1441647597254,0.969265948279127
"16",0.967,0.014,0.942,0.993,0,0,2739,2635,1,"1854872-U2OS-0007_WellJ13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.03412616339193,0.876048023573895
"17",0.875,0.012,0.855,0.897,0,0,2648,2395,1,"1854872-U2OS-0007_WellH05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14285714285714,0.968158215766807
"18",0.871,0.007,0.858,0.885,0,0,3036,2899,1,"1854872-U2OS-0007_WellE07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14810562571757,0.972604407343234
"19",0.863,0.011,0.842,0.882,0,0,2840,2488,1,"1854872-U2OS-0007_WellJ09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15874855156431,0.981620438929266
"20",0.884,0.01,0.866,0.902,0,0,2856,2814,1,"1854872-U2OS-0007_WellH09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13122171945701,0.958301401352892
"21",0.867,0.009,0.85,0.885,0,0,2839,2528,1,"1854872-U2OS-0007_WellF05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15340253748558,0.977091624908831
"22",0.882,0.01,0.865,0.9,0,0,2743,2465,1,"1854872-U2OS-0007_WellH09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13378684807256,0.960474420403579
"23",0.867,0.009,0.849,0.884,0,0,2626,2456,1,"1854872-U2OS-0007_WellJ09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15340253748558,0.977091624908831
"24",0.882,0.01,0.862,0.901,0,0,2858,2712,1,"1854872-U2OS-0007_WellG07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13378684807256,0.960474420403579
"25",0.96,0.009,0.943,0.976,0,0,2620,2733,1,"1854872-U2OS-0007_WellE13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.04166666666667,0.882435873745788
"26",0.935,0.012,0.914,0.96,0,0,2490,2584,1,"1854872-U2OS-0007_WellF13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.06951871657754,0.906030415824552
"27",0.966,0.011,0.946,0.988,0,0,2757,2709,1,"1854872-U2OS-0007_WellG13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.0351966873706,0.876954905585876
"28",0.862,0.008,0.846,0.876,0,0,2813,2316,1,"1854872-U2OS-0007_WellG11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.16009280742459,0.982759209740089
"29",0.898,0.01,0.88,0.917,0,0,2685,2961,1,"1854872-U2OS-0007_WellI07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.11358574610245,0.94336129041866
"30",0.877,0.009,0.86,0.894,0,0,2938,2532,1,"1854872-U2OS-0007_WellG05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14025085518814,0.965950329299836
"31",0.867,0.008,0.851,0.883,0,0,2685,2544,1,"1854872-U2OS-0007_WellF05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15340253748558,0.977091624908831
"32",0.977,0.014,0.95,1.004,0,0,3149,2772,1,"1854872-U2OS-0007_WellJ13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.02354145342886,0.867081308900672
"33",0.872,0.007,0.858,0.886,0,0,2727,2820,1,"1854872-U2OS-0007_WellG09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14678899082569,0.971489035316464
"34",0.887,0.007,0.872,0.899,0,0,3101,2988,1,"1854872-U2OS-0007_WellJ11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.12739571589628,0.955060246669624
"35",1.002,0.015,0.976,1.033,0,0,3026,2810,1,"1854872-U2OS-0007_WellI13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",0.998003992015968,0.845447543708539
"36",0.887,0.009,0.869,0.902,0,0,2909,2693,1,"1854872-U2OS-0007_WellG11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.12739571589628,0.955060246669624
"37",0.957,0.015,0.928,0.984,0,0,3193,2677,1,"1854872-U2OS-0007_WellI13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.04493207941484,0.885202130403298
"38",0.894,0.007,0.881,0.908,0,0,2452,2763,1,"1854872-U2OS-0007_WellE11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.11856823266219,0.947582146304202
"39",0.873,0.008,0.857,0.888,0,0,2799,2641,1,"1854872-U2OS-0007_WellE09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.1454753722795,0.970376218552069
"40",0.873,0.008,0.857,0.889,0,0,3149,2926,1,"1854872-U2OS-0007_WellF09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.1454753722795,0.970376218552069
"41",0.866,0.008,0.851,0.881,0,0,2708,2708,1,"1854872-U2OS-0007_WellG05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15473441108545,0.978219906230897
"42",0.888,0.007,0.873,0.902,0,0,3184,2854,1,"1854872-U2OS-0007_WellJ11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.12612612612613,0.953984728373825
"43",0.879,0.007,0.866,0.891,0,0,3162,3136,1,"1854872-U2OS-0007_WellH11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13765642775882,0.963752490097789
"44",0.864,0.009,0.848,0.88,0,0,2676,2462,1,"1854872-U2OS-0007_WellE05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15740740740741,0.980484304161987
"45",0.894,0.009,0.879,0.912,0,0,2732,2650,1,"1854872-U2OS-0007_WellE07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.11856823266219,0.947582146304202
"46",0.876,0.012,0.854,0.9,0,0,2659,2855,1,"1854872-U2OS-0007_WellH05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.14155251141553,0.967053012324151
"47",0.889,0.008,0.874,0.904,0,0,2728,2674,1,"1854872-U2OS-0007_WellI11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.12485939257593,0.95291162969174
"48",0.884,0.008,0.869,0.9,0,0,3048,2717,1,"1854872-U2OS-0007_WellF07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.13122171945701,0.958301401352892
"49",0.867,0.009,0.851,0.885,0,0,2837,2860,1,"1854872-U2OS-0007_WellI09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.15340253748558,0.977091624908831
"50",0.907,0.01,0.888,0.926,0,0,2785,2461,1,"1854872-U2OS-0007_WellH07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.10253583241455,0.934000483788265
"51",0.893,0.011,0.873,0.915,0,0,2985,2638,1,"1854872-U2OS-0007_WellJ07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.11982082866741,0.948643268528507
"52",0.891,0.011,0.871,0.914,0,0,3111,2612,1,"1854872-U2OS-0007_WellJ05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.12233445566779,0.950772658581321
"53",0.9,0.01,0.881,0.919,0,0,2826,2342,1,"1854872-U2OS-0007_WellI07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.11111111111111,0.941264931995507
"54",0.946,0.01,0.928,0.965,0,0,3199,2765,1,"1854872-U2OS-0007_WellE13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.05708245243129,0.895495178431244
"55",0.853,0.007,0.839,0.866,0,0,2783,2658,1,"1854872-U2OS-0007_WellE05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.17233294255569,0.993128298705694
"56",0.941,0.01,0.923,0.961,0,0,2934,2760,1,"1854872-U2OS-0007_WellG13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.06269925611052,0.900253388731091
"57",0.874,0.009,0.858,0.892,0,0,3100,2728,1,"1854872-U2OS-0007_WellI09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_fast",1.1441647597254,0.969265948279127
"58",0.937,0.009,0.921,0.955,0,0,2669,2535,1,"1854872-U2OS-0005_WellG13_Point03","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.06723585912487,0.904096519526101
"59",0.928,0.007,0.915,0.942,0,0,3083,2724,1,"1854872-U2OS-0005_WellE13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.07758620689655,0.912864696978401
"60",0.88,0.01,0.862,0.899,0,0,3075,2399,1,"1854872-U2OS-0005_WellG07_Point02","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.13636363636364,0.962657316813587
"61",0.849,0.008,0.835,0.863,0,0,3200,2957,1,"1854872-U2OS-0005_WellF09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.17785630153121,0.997807348405131
"62",0.868,0.008,0.853,0.882,0,0,2704,2934,1,"1854872-U2OS-0005_WellF11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.15207373271889,0.975965943313314
"63",0.873,0.006,0.861,0.885,0,0,2669,2789,1,"1854872-U2OS-0005_WellE11_Point02","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.1454753722795,0.970376218552069
"64",0.899,0.008,0.884,0.914,0,0,2991,2739,1,"1854872-U2OS-0005_WellG11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.11234705228031,0.942311945268027
"65",0.839,0.006,0.828,0.849,0,0,2528,2671,1,"1854872-U2OS-0005_WellE09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.19189511323004,1.00970016543022
"66",0.86,0.009,0.843,0.876,0,0,2786,2812,1,"1854872-U2OS-0005_WellG07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.16279069767442,0.985044696274368
"67",0.855,0.008,0.839,0.87,0,0,2913,2928,1,"1854872-U2OS-0005_WellF07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.16959064327485,0.990805191574218
"68",0.861,0.007,0.849,0.874,0,0,2903,2724,1,"1854872-U2OS-0005_WellE11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.16144018583043,0.983900625779276
"69",0.877,0.006,0.865,0.888,0,0,2769,2803,1,"1854872-U2OS-0005_WellE11_Point03","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.14025085518814,0.965950329299836
"70",0.878,0.008,0.863,0.892,0,0,3051,2728,1,"1854872-U2OS-0005_WellF07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.13895216400911,0.964850158081955
"71",0.936,0.009,0.919,0.954,0,0,2982,2718,1,"1854872-U2OS-0005_WellG13_Point02","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.06837606837607,0.905062434611065
"72",0.846,0.005,0.835,0.856,0,0,2525,2644,1,"1854872-U2OS-0005_WellE07_Point02","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.18203309692671,1.00134567233565
"73",0.833,0.008,0.82,0.848,0,0,2678,2732,1,"1854872-U2OS-0005_WellF09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.20048019207683,1.01697291572144
"74",0.884,0.008,0.869,0.9,0,0,3362,2915,1,"1854872-U2OS-0005_WellG11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.13122171945701,0.958301401352892
"75",0.841,0.007,0.829,0.855,0,0,2758,2735,1,"1854872-U2OS-0005_WellE05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.18906064209275,1.00729897597617
"76",0.852,0.009,0.835,0.869,0,0,3022,2519,1,"1854872-U2OS-0005_WellG09_Point02","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.17370892018779,0.994293942248775
"77",0.858,0.006,0.845,0.869,0,0,2852,2592,1,"1854872-U2OS-0005_WellE07_Point03","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.16550116550117,0.987340837757525
"78",0.858,0.009,0.841,0.873,0,0,3058,2795,1,"1854872-U2OS-0005_WellG05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.16550116550117,0.987340837757525
"79",0.845,0.009,0.827,0.86,0,0,2876,2338,1,"1854872-U2OS-0005_WellG09_Point01","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.18343195266272,1.00253069679995
"80",0.858,0.008,0.844,0.873,0,0,2676,2750,1,"1854872-U2OS-0005_WellF09_Point03","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.16550116550117,0.987340837757525
"81",0.844,0.01,0.826,0.862,0,0,2555,3003,1,"1854872-U2OS-0005_WellF05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.18483412322275,1.0037185293791
"82",0.948,0.008,0.933,0.964,0,0,2754,2908,1,"1854872-U2OS-0005_WellF13_Point02","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.05485232067511,0.893605948097001
"83",0.849,0.008,0.832,0.864,0,0,2912,2438,1,"1854872-U2OS-0005_WellE05_Point03","WT (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.17785630153121,0.997807348405131
"84",0.868,0.007,0.854,0.88,0,0,2989,2742,1,"1854872-U2OS-0005_WellF11_Point02","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.15207373271889,0.975965943313314
"85",0.884,0.01,0.864,0.904,0,0,3078,2786,1,"1854872-U2OS-0005_WellG07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.13122171945701,0.958301401352892
"86",0.916,0.006,0.905,0.927,0,0,2965,2365,1,"1854872-U2OS-0005_WellE13_Point02","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.09170305676856,0.92482362313969
"87",0.93,0.008,0.915,0.946,0,0,2495,2467,1,"1854872-U2OS-0005_WellF13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.0752688172043,0.910901547092426
"88",0.868,0.007,0.854,0.882,0,0,2003,2471,1,"1854872-U2OS-0005_WellF11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.15207373271889,0.975965943313314
"89",0.932,0.01,0.914,0.949,0,0,2869,2747,1,"1854872-U2OS-0005_WellG13_Point01","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.07296137339056,0.908946822742443
"90",0.846,0.006,0.836,0.857,0,0,2779,2755,1,"1854872-U2OS-0005_WellE09_Point02","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.18203309692671,1.00134567233565
"91",0.885,0.008,0.871,0.9,0,0,3248,2846,1,"1854872-U2OS-0005_WellG11_Point03","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.12994350282486,0.957218574910685
"92",0.94,0.007,0.927,0.954,0,0,2828,2585,1,"1854872-U2OS-0005_WellF13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.06382978723404,0.901211105102081
"93",0.889,0.008,0.874,0.903,0,0,2721,2626,1,"1854872-U2OS-0005_WellF07_Point02","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.12485939257593,0.95291162969174
"94",0.845,0.006,0.834,0.855,0,0,2584,2674,1,"1854872-U2OS-0005_WellE09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.18343195266272,1.00253069679995
"95",0.866,0.007,0.853,0.879,0,0,2767,2586,1,"1854872-U2OS-0005_WellF07_Point03","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.15473441108545,0.978219906230897
"96",0.854,0.009,0.838,0.87,0,0,3012,2677,1,"1854872-U2OS-0005_WellF05_Point02","WT (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.17096018735363,0.991965385006975
"97",0.84,0.006,0.829,0.852,0,0,2930,2441,1,"1854872-U2OS-0005_WellE05_Point02","WT (U2OS)","Estradiol",100,"1854872-U2OS-0005","koff_fast",1.19047619047619,1.00849814142376
