"","mean","sd","hdi_3.","hdi_97.","mcse_mean","mcse_sd","ess_bulk","ess_tail","r_hat","fov_id_str","Cell.Line.ID","Molecule.Name","Molecule.Concentration","plate_barcode","parameter","residence_time","fold_change"
"1",0.142,0.003,0.137,0.147,0,0,2411,2751,1,"1854872-U2OS-0007_WellE11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.04225352112676,0.932728817973554
"2",0.139,0.004,0.131,0.146,0,0,2778,2505,1,"1854872-U2OS-0007_WellJ07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.19424460431655,0.952859655771544
"3",0.138,0.003,0.133,0.143,0,0,2308,2467,1,"1854872-U2OS-0007_WellF07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.2463768115942,0.959764435885831
"4",0.161,0.005,0.151,0.169,0,0,2616,2662,1,"1854872-U2OS-0007_WellH07_Point01","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",6.2111801242236,0.822655230759284
"5",0.139,0.004,0.131,0.147,0,0,2531,2613,1,"1854872-U2OS-0007_WellI05_Point01","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.19424460431655,0.952859655771544
"6",0.155,0.005,0.146,0.164,0,0,2243,2398,1,"1854872-U2OS-0007_WellI05_Point00","WT (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",6.45161290322581,0.854499949369321
"7",0.145,0.003,0.139,0.15,0,0,2590,2936,1,"1854872-U2OS-0007_WellI11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",6.89655172413793,0.913430980360308
"8",0.143,0.003,0.138,0.148,0,0,2376,2744,1,"1854872-U2OS-0007_WellF09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",6.99300699300699,0.926206238826886
"9",0.136,0.004,0.129,0.143,0,0,2280,2522,1,"1854872-U2OS-0007_WellF13_Point00","DBM (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.35294117647059,0.973878618766505
"10",0.143,0.003,0.138,0.148,0,0,2840,2651,1,"1854872-U2OS-0007_WellF11_Point01","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",6.99300699300699,0.926206238826886
"11",0.135,0.003,0.129,0.141,0,0,2615,2810,1,"1854872-U2OS-0007_WellH11_Point00","SOF3 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.40740740740741,0.981092534461072
"12",0.136,0.004,0.129,0.143,0,0,2428,2523,1,"1854872-U2OS-0007_WellG07_Point00","SOF1 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.35294117647059,0.973878618766505
"13",0.139,0.003,0.134,0.144,0,0,2322,2525,1,"1854872-U2OS-0007_WellE09_Point00","SOF2 (U2OS)","Estradiol",100,"1854872-U2OS-0007","koff_slow",7.19424460431655,0.952859655771544
