mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,fov_id_str,Cell Line ID,Molecule Name,Molecule Concentration,plate_barcode,parameter
0.816,0.005,0.807,0.826,0,0,2967,3247,1,1854872-U2OS-0007_WellG03_Point01,H2B,DMSO,0,1854872-U2OS-0007,weights[0]
0.182,0.005,0.173,0.191,0,0,3162,3328,1,1854872-U2OS-0007_WellG03_Point01,H2B,DMSO,0,1854872-U2OS-0007,weights[1]
0.001,0,0.001,0.002,0,0,2065,2210,1,1854872-U2OS-0007_WellG03_Point01,H2B,DMSO,0,1854872-U2OS-0007,weights[2]
0.12,0.003,0.114,0.125,0,0,2193,2357,1,1854872-U2OS-0007_WellG03_Point01,H2B,DMSO,0,1854872-U2OS-0007,koff_slow
0.839,0.011,0.818,0.859,0,0,2946,2805,1,1854872-U2OS-0007_WellG03_Point01,H2B,DMSO,0,1854872-U2OS-0007,koff_fast
0.857,0.003,0.85,0.862,0,0,3002,2757,1,1854872-U2OS-0007_WellE11_Point01,SOF3 (U2OS),Estradiol,100,1854872-U2OS-0007,weights[0]
0.142,0.003,0.136,0.148,0,0,3108,2818,1,1854872-U2OS-0007_WellE11_Point01,SOF3 (U2OS),Estradiol,100,1854872-U2OS-0007,weights[1]
0.001,0,0.001,0.002,0,0,1960,2070,1,1854872-U2OS-0007_WellE11_Point01,SOF3 (U2OS),Estradiol,100,1854872-U2OS-0007,weights[2]
0.142,0.003,0.137,0.147,0,0,2411,2751,1,1854872-U2OS-0007_WellE11_Point01,SOF3 (U2OS),Estradiol,100,1854872-U2OS-0007,koff_slow
0.871,0.007,0.859,0.883,0,0,2491,2467,1,1854872-U2OS-0007_WellE11_Point01,SOF3 (U2OS),Estradiol,100,1854872-U2OS-0007,koff_fast
0.868,0.005,0.859,0.877,0,0,3053,3092,1,1854872-U2OS-0007_WellJ07_Point01,SOF1 (U2OS),Estradiol,100,1854872-U2OS-0007,weights[0]
0.132,0.005,0.123,0.141,0,0,3157,3170,1,1854872-U2OS-0007_WellJ07_Point01,SOF1 (U2OS),Estradiol,100,1854872-U2OS-0007,weights[1]
0.001,0,0,0.001,0,0,1929,1497,1,1854872-U2OS-0007_WellJ07_Point01,SOF1 (U2OS),Estradiol,100,1854872-U2OS-0007,weights[2]
