# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "16" "-s" "2" "-p" "-O" "-F" "SAF" "-a" "../pause_region_analysis/annotations/for_ratio/gene_body_regions.saf" "-o" "../pause_region_analysis/counts/genebody_counts_250down_tes.antisense.txt" "../tmp_forcounts//1_DW1_S10_L006.sorted.bam" "../tmp_forcounts//2_EW1_S11_L006.sorted.bam" "../tmp_forcounts//3_2D1_S12_L006.sorted.bam" "../tmp_forcounts//4_2E1_S13_L006.sorted.bam" "../tmp_forcounts//5_DW2_S14_L006.sorted.bam" "../tmp_forcounts//6_EW2_S15_L006.sorted.bam" "../tmp_forcounts//7_2D2_S16_L006.sorted.bam" "../tmp_forcounts//8_2E2_S17_L006.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../tmp_forcounts//1_DW1_S10_L006.sorted.bam	../tmp_forcounts//2_EW1_S11_L006.sorted.bam	../tmp_forcounts//3_2D1_S12_L006.sorted.bam	../tmp_forcounts//4_2E1_S13_L006.sorted.bam	../tmp_forcounts//5_DW2_S14_L006.sorted.bam	../tmp_forcounts//6_EW2_S15_L006.sorted.bam	../tmp_forcounts//7_2D2_S16_L006.sorted.bam	../tmp_forcounts//8_2E2_S17_L006.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam
NM_001276351.2	chr1	67092164	67134720	-	42557	11	5	22	11	10	9	8	9	0	0	1	0	1	1	1	0	1	2	1	4
NM_001005337.3	chr1	201283755	201332989	+	49235	110	84	177	136	131	75	113	42	40	55	36	27	69	50	56	37	63	51	60	50
NM_001042681.2	chr1	8352403	8817390	-	464988	11158	11866	12361	11487	12591	11601	7411	7545	4641	4879	5399	4438	10940	7885	9298	8174	8084	7178	10447	10380
NM_001281956.2	chr1	33513997	34164980	-	650984	5733	5794	7504	6980	6097	5641	4520	4369	1845	1879	1950	1790	3571	2576	2304	2019	2597	2241	2302	2441
NM_001130058.2	chr1	75202128	75610864	-	408737	1157	1112	1210	1119	1217	1141	757	635	366	318	435	411	920	678	1072	842	629	574	992	1037
NM_024686.6	chr1	83865023	83998882	-	133860	481	484	716	577	552	531	412	344	220	230	232	190	706	515	465	360	417	464	431	364
NM_053274.3	chr1	92246401	92298737	-	52337	880	933	1078	1187	981	1013	751	740	367	315	340	299	823	683	843	638	602	483	772	803
NM_006699.5	chr1	117367698	117528872	+	161175	2357	2332	2584	2284	2625	2469	1498	1453	583	818	885	721	2153	1502	2317	1838	1516	1351	2378	2482
NM_003568.3	chr1	150982541	150995634	+	13094	11	13	40	27	17	7	20	16	4	3	1	0	3	2	16	7	1	1	30	3
NM_003953.6	chr1	167722231	167791919	+	69689	890	898	1185	1050	979	850	782	522	441	530	429	312	1044	715	847	756	578	598	693	821
NM_022457.7	chr1	175944830	176207036	-	262207	4135	4402	5274	4829	4781	4496	3330	3132	1423	1652	1707	1372	4422	3144	4363	3496	3153	2848	4512	4697
NM_030806.4	chr1	184387278	184629019	+	241742	1517	1580	2613	2351	1711	1606	1640	1497	746	711	706	572	1629	1068	1724	1464	1056	1063	1664	1660
NM_005525.4	chr1	209705095	209734929	+	29835	5	2	6	5	8	3	2	4	0	0	0	0	0	0	1	0	0	0	0	1
NM_006642.5	chr1	243256290	243500091	+	243802	923	979	1283	1358	978	977	909	884	432	407	389	329	867	656	896	747	597	586	854	974
NM_198576.4	chr1	1020369	1056116	+	35748	1742	1665	2216	2157	1789	1353	1351	1731	813	887	813	641	1066	745	1021	984	652	541	1202	1266
NM_002744.6	chr1	2050660	2185395	+	134736	1580	1539	2132	1878	1664	1384	1334	1333	934	844	857	631	1241	950	1019	858	832	681	1071	1109
NM_022114.4	chr1	3069452	3438621	+	369170	1007	1002	1952	1549	1067	881	1045	1052	399	402	538	272	723	476	533	467	524	422	551	506
NM_007274.4	chr1	6264271	6393517	-	129247	1585	1701	2212	1963	1845	1622	1362	1297	694	866	975	752	1346	958	1563	1312	946	828	1612	1573
NM_015215.4	chr1	6785703	7769706	+	984004	6058	6216	8593	7682	6809	6134	5152	5183	2313	2341	2488	2181	4488	3296	5160	4339	3174	2801	5597	5753
NM_004565.3	chr1	10475199	10630758	+	155560	2997	3285	4464	4244	3369	3272	2750	2641	1434	1667	1617	1253	3035	2172	2786	2626	2279	2084	3096	2847
NM_020780.2	chr1	11479404	11537551	+	58148	66	73	103	119	97	61	63	67	21	36	23	27	32	22	40	43	47	29	44	52
